Andaman and Nicobar Islands,567
Andhra Pradesh,119260
Arunachal Pradesh,538
Assam,20564
Bihar,92420
Chandigarh,9276
Chhattisgarh,13869
Dadra and Nagar Haveli,161
Delhi,618821
Goa,3380
Gujarat,568734
Haryana,74037
Himachal Pradesh,8625
Jammu and Kashmir,82760
Jharkhand,19309
Karnataka,101476
Kerala,50757
Ladakh,1269
Madhya Pradesh,279206
Maharashtra,1910377
Manipur,1387
Meghalaya,702
Mizoram,305
Nagaland,1065
Odisha,54530
Puducherry,2184
Punjab,87326
Rajasthan,301737
Sikkim,50
Tamil Nadu,678841
Telangana,4434
Tripura,11617
Uttar Pradesh,272098
Uttarakhand,19377
West Bengal,167433
